iter	Passed	Remaining
1370	10989	2548
1371	10996	2540
1372	11004	2532
1373	11011	2524
1374	11019	2516
1375	11026	2508
1376	11036	2500
1377	11042	2492
1378	11051	2484
1379	11058	2476
1380	11066	2468
1381	11074	2460
1382	11083	2452
1383	11090	2444
1384	11097	2435
1385	11105	2427
1386	11111	2419
1387	11120	2411
1388	11127	2403
1389	11136	2395
1390	11143	2387
1391	11152	2379
1392	11159	2371
1393	11168	2363
1394	11175	2355
1395	11184	2347
1396	11191	2339
1397	11199	2331
1398	11206	2323
1399	11213	2314
1400	11221	2306
1401	11228	2298
1402	11237	2290
1403	11245	2282
1404	11254	2274
1405	11261	2266
1406	11271	2259
1407	11278	2250
1408	11287	2243
1409	11295	2234
1410	11303	2227
1411	11310	2218
1412	11320	2211
1413	11327	2202
1414	11335	2195
1415	11342	2186
1416	11351	2178
1417	11358	2170
1418	11366	2162
1419	11373	2154
1420	11381	2146
1421	11389	2138
1422	11395	2130
1423	11404	2122
1424	11411	2114
1425	11419	2106
1426	11426	2097
1427	11435	2090
1428	11442	2081
1429	11451	2073
1430	11457	2065
1431	11466	2057
1432	11473	2049
1433	11481	2041
1434	11488	2033
1435	11495	2025
1436	11503	2017
1437	11510	2009
1438	11519	2001
1439	11526	1993
1440	11535	1985
1441	11541	1977
1442	11551	1969
1443	11558	1961
1444	11567	1953
1445	11574	1945
1446	11584	1937
1447	11591	1929
1448	11599	1921
1449	11606	1913
1450	11615	1905
1451	11622	1896
1452	11631	1889
1453	11637	1880
1454	11646	1873
1455	11653	1864
1456	11661	1856
1457	11669	1848
1458	11676	1840
1459	11685	1832
1460	11692	1824
1461	11700	1816
1462	11707	1808
1463	11716	1800
1464	11723	1792
1465	11732	1784
1466	11739	1776
1467	11749	1768
1468	11756	1760
1469	11765	1752
1470	11772	1744
1471	11781	1736
1472	11789	1728
1473	11797	1720
1474	11804	1712
1475	11812	1704
1476	11820	1696
1477	11829	1688
1478	11836	1680
1479	11843	1672
1480	11852	1664
1481	11859	1656
1482	11868	1648
1483	11875	1640
1484	11883	1632
1485	11890	1624
1486	11899	1616
1487	11906	1608
1488	11915	1600
1489	11921	1592
1490	11930	1584
1491	11938	1576
1492	11948	1568
1493	11955	1560
1494	11963	1552
1495	11970	1544
1496	11979	1536
1497	11986	1528
1498	11995	1520
1499	12002	1512
1500	12011	1504
1501	12018	1496
1502	12028	1488
1503	12036	1480
1504	12045	1472
1505	12053	1464
1506	12062	1456
1507	12069	1448
1508	12078	1440
1509	12085	1432
1510	12093	1424
1511	12101	1416
1512	12110	1408
1513	12118	1400
1514	12128	1392
1515	12135	1384
1516	12145	1377
1517	12152	1368
1518	12161	1361
1519	12169	1353
1520	12179	1345
1521	12186	1337
1522	12195	1329
1523	12203	1321
1524	12212	1313
1525	12219	1305
1526	12228	1297
1527	12236	1289
